huc,gage,LAT,LONG
1,01013500,47.23739,-68.58264
1,01022500,44.60797,-67.93524
1,01030500,45.50097,-68.30596
1,01031500,45.17501,-69.3147
1,01047000,44.8692,-69.9551
1,01052500,44.87739,-71.05749
1,01054200,44.39044,-70.97964
1,01055000,44.64275,-70.58878
1,01057000,44.30399,-70.53968
1,01073000,43.1487,-70.96506
1,01078000,43.56646,-71.74786
1,01118300,41.47482,-71.83424
1,01121000,41.84371,-72.16897
1,01123000,41.67177,-72.0523
1,01134500,44.51172,-71.83731
1,01137500,44.26867,-71.63036
1,01139000,44.15034,-72.06509
1,01139800,44.09284,-72.33565
1,01142500,43.93451,-72.65788
1,01144000,43.71424,-72.41815
1,01162500,42.68259,-72.11508
1,01169000,42.63842,-72.72509
1,01170100,42.70342,-72.67065
1,01181000,42.23731,-72.89565
1,01187300,42.03732,-72.93899
1,01195100,41.30593,-72.5312
2,01333000,42.70897,-73.19677
2,01350000,42.31953,-74.43654
2,01350080,42.37703,-74.41292
2,01350140,42.42897,-74.47293
2,01365000,41.86648,-74.4871
2,01411300,39.30694,-74.82056
2,01413500,42.14481,-74.65349
2,01414500,42.1062,-74.73043
2,01415000,42.12009,-74.81849
2,01423000,42.1662,-75.13989
2,01434025,41.99537,-74.50099
2,01435000,41.89009,-74.58988
2,01439500,41.08815,-75.03767
2,01440000,41.10667,-74.95222
2,01440400,41.08481,-75.21462
2,01451800,40.66176,-75.62685
2,01466500,39.885,-74.50528
2,01484100,38.90578,-75.51275
2,01485500,38.22892,-75.47144
2,01486000,38.21389,-75.67139
2,01487000,38.72833,-75.56186
2,01491000,38.99719,-75.78581
2,01510000,42.54118,-75.89964
2,01516500,41.79091,-77.01469
2,01518862,41.92313,-77.53193
2,01532000,41.70702,-76.48467
2,01539000,41.07814,-76.43106
2,01542810,41.57895,-78.29251
2,01543000,41.4134,-78.19695
2,01543500,41.31728,-78.10306
2,01544500,41.4759,-77.82582
2,01545600,41.38951,-77.69082
2,01547700,41.05951,-77.60583
2,01548500,41.52174,-77.44748
2,01549500,41.47368,-77.23081
2,01550000,41.41841,-77.03275
2,01552000,41.32508,-76.91246
2,01552500,41.35702,-76.53467
2,01557500,40.68367,-78.23362
2,01567500,40.37092,-77.40221
2,01568000,40.32342,-77.16887
2,01580000,39.62997,-76.40331
2,01583500,39.51078,-76.6765
2,01586610,39.45189,-76.95531
2,01591400,39.25597,-77.05106
2,01594950,39.27669,-79.39031
2,01596500,39.57006,-79.10194
2,01605500,38.63567,-79.33782
2,01606500,38.99122,-79.17587
2,01613050,39.89842,-78.13223
2,01620500,38.33763,-79.24004
2,01632000,38.63706,-78.8528
2,01632900,38.69345,-78.64279
2,01634500,39.08122,-78.32945
2,01638480,39.25455,-77.57638
2,01639500,39.61236,-77.23744
2,01644000,39.01955,-77.57749
2,01658500,38.58734,-77.4286
2,01664000,38.53068,-77.8136
2,01666500,38.32513,-78.09556
2,01667500,38.35041,-77.975
2,01669000,37.87708,-76.90052
2,01669520,37.63375,-76.69635
2,02011400,38.04235,-79.88144
2,02011460,38.2454,-79.76866
2,02013000,37.8029,-80.047
2,02014000,37.72901,-80.04228
2,02015700,38.1954,-79.57032
2,02016000,37.7918,-79.75949
2,02017500,37.50624,-80.10671
2,02018000,37.66596,-79.91144
2,02027000,37.71542,-78.98169
2,02027500,37.70236,-79.02752
2,02028500,37.86959,-78.82335
2,02038850,37.41542,-78.63584
3,02046000,37.06709,-77.60249
3,02051000,36.99737,-78.34972
3,02051500,36.71681,-77.83166
3,02053200,36.37083,-77.02556
3,02053800,37.14013,-80.26643
3,02055100,37.41763,-79.93532
3,02056900,37.04514,-79.8442
3,02059500,37.1732,-79.52031
3,02064000,37.12681,-78.95974
3,02065500,37.07931,-78.76362
3,02069700,36.57097,-80.12949
3,02070000,36.56819,-79.98726
3,02074500,36.61958,-79.50419
3,02077200,36.39778,-79.19667
3,02081500,36.19417,-78.58306
3,02082950,36.18333,-77.87611
3,02092500,35.06417,-77.46139
3,02096846,35.98722,-79.20611
3,02102908,35.18278,-79.1775
3,02108000,34.82889,-77.83222
3,02111180,36.07139,-81.40306
3,02111500,36.175,-81.16889
3,02112120,36.25028,-81.04444
3,02112360,36.31139,-80.80722
3,02118500,36.00056,-80.74556
3,02125000,35.33472,-80.33556
3,02128000,35.38722,-79.83139
3,02137727,35.68583,-82.06028
3,02140991,35.83361,-81.71194
3,02143000,35.68444,-81.40333
3,02143040,35.59069,-81.56704
3,02149000,35.42345,-82.1115
3,02152100,35.49306,-81.68222
3,02177000,34.81398,-83.30599
3,02178400,34.89037,-83.53044
3,02193340,33.68263,-82.85792
3,02196000,33.7293,-82.18179
3,02198100,32.93766,-81.81539
3,02202600,32.16798,-81.48817
3,02212600,33.09985,-83.72351
3,02215100,32.23944,-83.50167
3,02216180,31.99139,-82.92194
3,02221525,33.25236,-83.48128
3,02231000,30.35885,-82.0815
3,02231342,27.56865,-80.79617
3,02235200,28.87453,-81.48938
3,02245500,29.97941,-81.85204
3,02246000,30.1133,-81.90649
3,02296500,27.37504,-81.79647
3,02297155,27.48726,-82.02342
3,02297310,27.19949,-81.98842
3,02298123,27.052,-81.78453
3,02298608,27.34366,-82.15676
3,02299950,27.47365,-82.2112
3,02300700,27.79197,-82.35204
3,02310947,28.31195,-82.05591
3,02312200,28.57277,-82.15536
3,02314500,30.68056,-82.56056
3,02315500,30.32578,-82.73818
3,02324400,30.09827,-83.47181
3,02327100,30.12937,-84.49435
3,02342933,32.01766,-85.29577
3,02349900,32.19556,-83.90222
3,02350900,31.76444,-84.25333
3,02361000,31.34295,-85.61049
3,02363000,31.59489,-85.783
3,02369800,31.02768,-86.70996
3,02371500,31.5735,-86.25162
3,02372250,31.59627,-86.40552
3,02374500,31.4185,-86.98664
3,02381600,34.57037,-84.46882
3,02384540,34.87202,-84.72133
3,02395120,34.24278,-84.88972
3,02408540,32.91679,-86.27025
3,02415000,33.06679,-85.87913
3,02422500,32.58291,-86.9036
3,02427250,31.99626,-87.06832
3,02430085,34.46667,-88.28361
3,02430615,34.3925,-88.355
3,02450250,34.28538,-87.39891
3,02464000,33.47928,-87.59723
3,02464146,33.41345,-87.51056
3,02464360,33.42484,-87.64251
3,02465493,32.99735,-87.62223
3,02469800,31.74432,-88.02251
3,02472000,31.70694,-89.40694
3,02472500,31.42583,-89.41472
3,02479155,31.02528,-89.01667
3,02479300,30.73611,-88.78111
3,02479560,30.80908,-88.45863
3,02481000,30.55861,-89.12194
3,02481510,30.48361,-89.27444
5,03010655,41.96173,-78.19807
5,03011800,41.76645,-78.71864
5,03015500,41.85256,-79.31727
5,03021350,42.01533,-79.78255
5,03026500,41.63117,-78.57669
5,03028000,41.57534,-78.69225
5,03049000,40.7159,-79.69949
5,03049800,40.52035,-79.93811
5,03050000,38.80927,-79.88173
5,03066000,39.12705,-79.46838
5,03069500,39.12288,-79.68117
5,03070500,39.61564,-79.70477
5,03076600,39.65614,-79.39411
5,03078000,39.70219,-79.13639
5,03140000,40.36285,-81.86236
5,03144000,40.13257,-82.14792
5,03159540,39.06369,-81.8818
5,03161000,36.39333,-81.40694
5,03164000,36.64735,-80.97897
5,03165000,36.64596,-80.91924
